line,days,time
7,1234567,06:30
7,1234567,08:30
7,1234567,10:30
7,1234567,12:30
7,1234567,14:30
7,1234567,16:30
7,1234567,18:30
7,1234567,20:30
7,1234567,22:30
7,12345,05:30
7,12345,07:30
7,12345,17:30
7,12345,19:30
7,567,23:30
65,1234567,06:30
65,1234567,08:50
65,1234567,10:50
65,1234567,12:50
65,1234567,14:50
65,1234567,16:50
65,1234567,18:50
65,1234567,20:50
65,1234567,22:50
65,12345,05:50
65,12345,07:50
65,12345,17:50
65,12345,19:50
65,567,23:50
714,1234567,05:10
714,1234567,05:10
714,1234567,06:40
714,1234567,06:40
714,1234567,07:10
714,1234567,07:40
714,1234567,08:10
714,1234567,08:40
714,1234567,09:10
714,1234567,09:40
714,1234567,10:10
714,1234567,10:40
714,1234567,11:10
714,1234567,11:40
714,1234567,12:10
714,1234567,13:10
714,1234567,14:10
714,1234567,15:10
714,1234567,16:10
714,1234567,16:40
714,1234567,17:10
714,1234567,17:40
714,1234567,18:10
714,1234567,18:40
714,1234567,19:10
714,1234567,19:40
714,1234567,20:10
714,1234567,20:40
714,1234567,21:10
714,1234567,22:10
714,1234567,23:10
